Công Cụ Phân Tích Từ Khóa Miễn Phí - Keyword Planner Free

STT	Keyword	Volume	Length	Trend	Trend Data	Difficulty	Competition	Avg.CPC	KW Type	Question
1	may lanhdaikin	14,800	2	14800,8100,8100,6600,6600,8100,6600,14800,27100,27100,22200,14800,12100	14800;8100;8100;6600;6600;8100;6600;14800;27100;27100;22200;14800;12100	90	99	0.10	phrase	
2	máy lạnh daikin	14,800	3	14800,8100,8100,6600,6600,8100,6600,14800,27100,27100,22200,14800,12100	14800;8100;8100;6600;6600;8100;6600;14800;27100;27100;22200;14800;12100	86	99	0.10	phrase	
3	điều hoà đaikin	14,800	3	22200,9900,5400,3600,3600,6600,4400,12100,27100,40500,33100,14800,12100	22200;9900;5400;3600;3600;6600;4400;12100;27100;40500;33100;14800;12100	84	96	0.10	phrase	
4	điều hòa daikin	14,800	3	22200,9900,5400,3600,3600,6600,4400,12100,27100,40500,33100,14800,12100	22200;9900;5400;3600;3600;6600;4400;12100;27100;40500;33100;14800;12100	84	96	0.10	phrase	
5	daikin	9,900	1	12100,8100,8100,6600,18100,6600,5400,9900,14800,18100,12100,9900,8100	12100;8100;8100;6600;18100;6600;5400;9900;14800;18100;12100;9900;8100	80	85	0.11	exact	
6	daikina	9,900	1	12100,8100,8100,6600,18100,6600,5400,9900,14800,18100,12100,9900,8100	12100;8100;8100;6600;18100;6600;5400;9900;14800;18100;12100;9900;8100	80	85	0.11	exact	
7	arc480a21	6,600	1	20,20,10,50,260,590,1300,2400,8100,22200,18100,12100,12100	20;20;10;50;260;590;1300;2400;8100;22200;18100;12100;12100	50	9	0.02	broad	
8	arc480a1	4,400	1	90,70,40,40,140,590,720,1300,5400,14800,14800,8100,9900	90;70;40;40;140;590;720;1300;5400;14800;14800;8100;9900	49	10	0.02	broad	
9	máy lọc không khí daikin	3,600	5	2400,2400,2900,2900,9900,4400,2400,2900,2900,2900,2900,2400,2400	2400;2400;2900;2900;9900;4400;2400;2900;2900;2900;2900;2400;2400	62	100	0.12	phrase	
10	điều hòa trung tâm vrv	3,600	5	8100,2900,3600,6600,5400,5400,1300,1600,1000,1900,4400,1900,1000	8100;2900;3600;6600;5400;5400;1300;1600;1000;1900;4400;1900;1000	28	3	0.45	broad	
11	máy lạnh 1 ngưa	2,900	4	4400,1900,2400,1600,1600,1000,1600,3600,6600,6600,4400,2900,2900	4400;1900;2400;1600;1600;1000;1600;3600;6600;6600;4400;2900;2900	65	100	0.16	broad	
12	vrv daikin	2,900	2	6600,2400,2400,6600,5400,4400,1300,1600,1300,1900,3600,1900,1300	6600;2400;2400;6600;5400;4400;1300;1600;1300;1900;3600;1900;1300	42	7	0.40	phrase	
13	chế độ hút ẩm của điều hòa daikin	1,900	8	40,10,30,210,90,260,590,720,2400,6600,5400,3600,5400	40;10;30;210;90;260;590;720;2400;6600;5400;3600;5400	14	5	0.06	phrase	
14	máy lạnh 2 ngựa	1,900	4	2400,1300,1300,880,1000,720,880,1600,3600,3600,2400,1600,1600	2400;1300;1300;880;1000;720;880;1600;3600;3600;2400;1600;1600	64	100	0.16	broad	
15	máy lạnh daikin 1hp	1,900	4	2400,1300,1600,1300,1000,880,1000,1900,4400,4400,2900,1900,1900	2400;1300;1600;1300;1000;880;1000;1900;4400;4400;2900;1900;1900	64	100	0.09	phrase	
16	máy lạnh vrv	1,900	3	2900,2900,1900,1900,590,2900,1000,1600,1600,2400,4400,2400,1300	2900;2900;1900;1900;590;2900;1000;1600;1600;2400;4400;2400;1300	36	7	0.37	broad	
17	điều hoà pa na so nic 9000	1,900	7	2400,1000,480,480,390,390,390,1900,5400,5400,4400,1600,1600	2400;1000;480;480;390;390;390;1900;5400;5400;4400;1600;1600	51	100	0.15	broad	
18	bảo hành daikin	1,600	3	1300,720,720,1000,1000,480,170,320,480,720,1900,5400,6600	1300;720;720;1000;1000;480;170;320;480;720;1900;5400;6600	34	2	0.21	phrase	
19	máy lạnh daikin 1.5 hp	1,600	5	1900,1000,1000,880,880,720,720,1600,3600,4400,2400,1900,1900	1900;1000;1000;880;880;720;720;1600;3600;4400;2400;1900;1900	60	100	0.09	phrase	
20	điều hoà 24000btu	1,600	3	2400,1000,720,590,480,480,390,1300,2400,4400,3600,1600,1600	2400;1000;720;590;480;480;390;1300;2400;4400;3600;1600;1600	68	100	0.17	broad	
21	trung tâm bảo hành daikin	1,300	5	1300,880,880,1000,1000,1000,110,320,210,210,1600,3600,4400	1300;880;880;1000;1000;1000;110;320;210;210;1600;3600;4400	25	1	0.26	phrase	
